actions,calories,carbs,fat,name,restaurant
http://chubbygrub.com/food/french-toast-bagel-breakfast-with-sausage/,670,69,31,French Toast Bagel Breakfast with Sausage,Panera Bread
http://chubbygrub.com/food/fruit-and-maple-oatmeal/,290,57,4.5,Fruit & Maple Oatmeal,McDonald's
http://chubbygrub.com/food/fruit-and-maple-oatmeal-without-brown-sugar/,260,48,4.5,Fruit & Maple Oatmeal without Brown Sugar,McDonald's
http://chubbygrub.com/food/ham-and-swiss-panini-egg-whites/,410,410,410,Ham & Swiss Panini (Egg Whites),Corner Bakery Cafe
http://chubbygrub.com/food/ham-and-swiss-panini-whole-eggs/,490,490,490,Ham & Swiss Panini (Whole Eggs),Corner Bakery Cafe
http://chubbygrub.com/food/ham-egg-and-cheese-biscuit-2/,450,,23,"Ham, Egg & Cheese Biscuit",Carl's Jr.
http://chubbygrub.com/food/jalapeno-and-cheddar-bagel-with-bacon/,590,57,25,Jalapeno & Cheddar Bagel with Bacon,Panera Bread
http://chubbygrub.com/food/jalapeno-and-cheddar-bagel-with-egg-and-cheese/,470,57,16,Jalapeno & Cheddar Bagel with Egg and Cheese,Panera Bread
http://chubbygrub.com/food/jalapeno-and-cheddar-bagel-with-sausage/,630,58,29,Jalapeno & Cheddar Bagel with Sausage,Panera Bread
http://chubbygrub.com/food/jalapeno-and-cheddar-bagel-with-smoked-ham/,500,57,17,Jalapeno & Cheddar Bagel with Smoked Ham,Panera Bread
http://chubbygrub.com/food/mediterranean-egg-white-on-ciabatta/,410,47,15,Mediterranean Egg White on Ciabatta,Panera Bread
http://chubbygrub.com/food/monster-biscuit/,740,,50,Monster Biscuit®,Carl's Jr.
http://chubbygrub.com/food/sausage-biscuit-3/,430,34,27,Sausage Biscuit,McDonald's
http://chubbygrub.com/food/sausage-biscuit-4/,480,39,31,Sausage Biscuit,McDonald's
http://chubbygrub.com/food/rye-loaf-2/,90,18,1,Rye Loaf,Atlanta Bread Company
http://chubbygrub.com/food/sesame/,310,59,3,Sesame,Panera Bread
http://chubbygrub.com/food/sesame-semolina-loaf/,140,29,0.5,Sesame Semolina Loaf,Panera Bread
http://chubbygrub.com/food/sesame-semolina-miche/,140,30,1,Sesame Semolina Miche,Panera Bread
http://chubbygrub.com/food/sourdough-baguette-2/,90,18,0,Sourdough Baguette,Atlanta Bread Company
http://chubbygrub.com/food/sourdough-bread-2/,140,28,0,Sourdough Bread,Atlanta Bread Company
http://chubbygrub.com/food/sourdough-roll/,200,39,1,Sourdough Roll,Panera Bread
http://chubbygrub.com/food/sourdough-round-loaf/,140,28,0.5,Sourdough Round Loaf,Panera Bread
http://chubbygrub.com/food/sourdough-soup-bowl-2/,390,80,1,Sourdough Soup Bowl,Atlanta Bread Company
http://chubbygrub.com/food/sourdough-soup-bowl-3/,590,118,2.5,Sourdough Soup Bowl,Panera Bread
http://chubbygrub.com/food/sourdough-xl-loaf/,140,28,0.5,Sourdough XL Loaf,Panera Bread
http://chubbygrub.com/food/steakhouse-rye-vg-slice/,180,31,3.5,Steakhouse Rye – VG (slice),Corner Bakery Cafe
http://chubbygrub.com/food/steakhouse-rye-vg-whole/,1990,393,15,Steakhouse Rye – VG (whole),Corner Bakery Cafe
http://chubbygrub.com/food/stone-milled-rye-loaf/,140,28,0.5,Stone-Milled Rye Loaf,Panera Bread
http://chubbygrub.com/food/stone-milled-rye-miche/,140,27,0.5,Stone-Milled Rye Miche,Panera Bread
http://chubbygrub.com/food/sweet-onion-and-poppyseed/,390,72,7,Sweet Onion & Poppyseed,Panera Bread
http://chubbygrub.com/food/three-cheese-demi/,160,29,2,Three Cheese Demi,Panera Bread
http://chubbygrub.com/food/sausage-biscuit-with-egg/,510,36,33,Sausage Biscuit with Egg,McDonald's
http://chubbygrub.com/food/sausage-biscuit-with-egg-2/,570,42,37,Sausage Biscuit with Egg,McDonald's
http://chubbygrub.com/food/sausage-mcgriddles/,420,44,22,Sausage McGriddles®,McDonald's
http://chubbygrub.com/food/sausage-mcmuffin/,370,29,22,Sausage McMuffin®,McDonald's
http://chubbygrub.com/food/sausage-mcmuffin-with-egg/,450,30,27,Sausage McMuffin® with Egg,McDonald's
http://chubbygrub.com/food/sausage-egg-and-cheese-biscuit-2/,570,,37,"Sausage, Egg & Cheese Biscuit",Carl's Jr.
http://chubbygrub.com/food/sausage-egg-and-cheese-mcgriddles/,560,48,32,"Sausage, Egg & Cheese McGriddles®",McDonald's
http://chubbygrub.com/food/sausage-egg-and-cheese-on-ciabatta/,550,44,29,"Sausage, Egg & Cheese on Ciabatta",Panera Bread
http://chubbygrub.com/food/smoked-bacon-and-cheddar-panini-egg-whites/,460,460,460,Smoked Bacon & Cheddar Panini (Egg Whites),Corner Bakery Cafe
http://chubbygrub.com/food/smoked-bacon-and-cheddar-panini-whole-eggs/,540,35,32,Smoked Bacon & Cheddar Panini (Whole Eggs),Corner Bakery Cafe
http://chubbygrub.com/food/sourdough-breakfast-sandwich/,450,,21,Sourdough Breakfast Sandwich,Carl's Jr.
http://chubbygrub.com/food/southern-style-chicken-biscuit/,410,41,20,Southern Style Chicken Biscuit,McDonald's
http://chubbygrub.com/food/southern-style-chicken-biscuit-2/,470,46,24,Southern Style Chicken Biscuit,McDonald's
http://chubbygrub.com/food/steak-egg-and-cheese-bagel/,660,56,33,"Steak, Egg & Cheese Bagel",McDonald's
http://chubbygrub.com/food/steak-egg-white-and-cheese-3-flatbread/,190,22,6,"Steak, Egg (White) and Cheese 3″ Flatbread",Subway
http://chubbygrub.com/food/steak-egg-and-cheese-3-flatbread/,210,22,8,"Steak, Egg and Cheese 3″ Flatbread",Subway
http://chubbygrub.com/food/three-cheese-loaf/,140,26,2,Three Cheese Loaf,Panera Bread
http://chubbygrub.com/food/three-cheese-miche/,150,27,2,Three Cheese Miche,Panera Bread
http://chubbygrub.com/food/three-seed-demi/,160,27,3.5,Three Seed Demi,Panera Bread
http://chubbygrub.com/food/tomato-basil-xl-loaf/,130,27,0.5,Tomato Basil XL Loaf,Panera Bread
http://chubbygrub.com/food/traditional-sesame-baguette-vg-slice/,50,8,1,Traditional Sesame Baguette – VG (slice),Corner Bakery Cafe
http://chubbygrub.com/food/traditional-sesame-baguette-vg-whole/,1610,287,30,Traditional Sesame Baguette – VG (whole),Corner Bakery Cafe
http://chubbygrub.com/food/white-rye-oblong-vg-slice/,180,35,1,White Rye Oblong – VG (slice),Corner Bakery Cafe
http://chubbygrub.com/food/white-rye-oblong-vg-whole/,3540,649,59,White Rye Oblong – VG (whole),Corner Bakery Cafe
http://chubbygrub.com/food/white-whole-grain-loaf/,140,26,2.5,White Whole Grain Loaf,Panera Bread
